IncidentID,IncidentDate,BearsObservedID,CaseNumber,IncidentDescription
1630,09-May-10,-1,10-0922,"The bear obtained a hand full of peanuts by tearing a hole in a small camelback. The visitor said that their child forgot to store the food properly. The visitors heard the bear and chased it off. It was reported as being a small, light golden brown bear,"
1633,12-May-10,-1,10-0957,Resource units spotted a bear on food next to an open locker. Resource 90 chased the bear out of the campground and got a partial ID. The bear was cinnamon colored and looked like a small adult. The visitors enthusiastically claimed that thy closed their 
1634,13-May-10,-1,10-0970,"Bear obtained orange juice, butter, oatmeal, and pizza sauce. The visitors were in their tent when they heard a noise. They looked out and saw a bear messing with their locker. They said they watched it open their latched locker and get food. The man got "
1636,15-May-10,0,10-1075,"Resident purposely left windows of vehicle down. In the morning, the car was dirty with slobber all over, and a water bottle had bite marks on it."
1637,15-May-10,-1,10-1003,Food locker was left open. Bear obtained marshmallows and food bars.
1638,16-May-10,0,10-1017,"The bear ripped the screen off of the back door of a secured building and a wood panel off of the door frame to the garage, but did not gain entry in either case."
1639,16-May-10,0,10-1017,"Bear broke front driver's side window. No damage was done to the interior or frame of the car. Baby seats were present, but undamaged."
1640,16-May-10,0,10-1016,"Bear entered a car through the sun roof, popped off glass, and broke the panel. Damage was done to both leather seats in front. There was also damage to the passenger's side rear window and a panel in the trunk of the car panel which was popped off and cr"
1645,17-May-10,0,10-1040,Latches to rear window of camper shell were damaged and condiments were taken from a plastic storage container within the camper shell.
1646,17-May-10,0,10-1039,"A red North Face backpack was found near the Camp 4 parking lot next to a small scat. Suntan lotion, snacks, 2 pairs of sunglasses, 3 walkie-talkies, and a ""Hothands"" cap in neon. Items stored in ranger briefing office at the lost and found locker."
1644,17-May-10,-1,10-1038,"A bear obtained two types of pasta, popcorn, and packaged meat from an improperly latched locker at the Ahwahnee Parking Lot. The bear had a very shiny reddish coat and there was a pile of scat very near the locker."
1643,17-May-10,0,10-1037,Visitors stored food in a backpack within a locked tool box in the bed of their truck. Damage was done to the lock lugs (repairable). Scat was present beside the vehicle. Bear obtained a bag of food including oranges and canned goods.
1642,17-May-10,-1,10-1036,"Bear 3562 got into an unlatched bear locker and took a loaf of bread. She probably ate a third of the loaf before we caught up with her. The bear treed with the bread, then ran with it a ways before she finally dropped it."
1649,18-May-10,0,10-1061,Driver's side door of a vehicle was slightly bent. Paw prints were all over the car. The bear did not get in the vehicle. It's possible that the damage could be a day old.
1635,18-May-10,0,10-1054,"The vehicle was packed up with suitcases, food, and miscellaneous other items. The damage was to the passenger side rear window. The latch was broken and the window popped all the way off. There were deep scratches on the roof as well. The rear drivers si"
1651,18-May-10,-1,10-1053,A cooler was left out overnight. Some students saw the bear. Bear obtained cheese and candy from the cooler.
1617,18-May-10,0,10-1052,"Vehicle had severe damage to the left rear door and window, the back interior, and left outside mirror. No food was claimed to be present in the vehicle. Vehicle was not drivable. Hotel 21 was called to the scene and impounded the car. Photos were taken b"
1648,18-May-10,0,10-1051,"A bear broke out the left rear door window, entered the vehicle and did some damage to a seat. The bear ate four apples and steaks were also reportedly in the back."
1616,18-May-10,-1,10-1050,"Bear 3562 was in Huff House. Resource units were looking for her, and when they found her, she tried to grab a stick of butter that was laying on the ground. The bear missed it, tried to do a second run-by, and missed it again. She was then chased off. It"
1647,18-May-10,-1,10-1049,A bear got a cup of dog food that was left out in an unknown site. Resource rangers were following her at the rime and chased her away from it.
1641,18-May-10,0,10-1035,"A backpack was found across the road in North Pines from site #111. It is unknown where the pack came from. A bear ate a handful of small hard candies and two energy goo packets. The bear bit into Vaseline and bug repellent, as well as an unmarked bottle "
1653,19-May-10,0,10-1063,Visitor's first time in Yosemite. They arrived late (02:30) and told by a ranger to park in the overflow parking and stay in Camp 4. Bear obtained food from the camper shell including eggs and milk in an ice chest.
1650,19-May-10,0,10-1062,"Bear locker open and a couple of Cliff bars, pita chips, carrots, and peas were eaten. Visitors didn't hear anything. Resource rangers found it open when they were spotlighting. There is a possibility that the incident was caused by two nearby raccoons. T"
1652,20-May-10,0,10-1078,"The back window on the passenger's side of the van was slid open by the bear. No damage was done to the window, but the screen was ripped. Food was present in the vehicle as well as incense sticks and strong odors. Resident reported not knowing food was i"
1654,20-May-10,-1,10-1077,The bear ate 3 lbs. of bacon and turkey. The visitors were asleep and heard an ice chest drop and then heard licking. They came out and the bear kept eating. The visitor hit the locker and the bear didn’t move. The visitor hit the bear on the head a coupl
1862,21-May-10,0,10-3066,"Bear broke into vehicle through passenger window. Only item in car was a kitty litter deodorizer. Not much info, a hotline report."
1657,21-May-10,0,10-1109,"Visitor had been in backcountry, returned to vehicle and stored a ""cleaned"" BBQ grill inside several black trash bags. Camped in Backpackers and returned this morning to a peeled passengers side door. The BBQ appeared to have been the target and no other "
1655,22-May-10,0,10-1110,The bear tore the back of the pickup bed cover. No food was present in the cab or bed of the truck. The bear did not gain entry into the bed of the truck.
1658,22-May-10,-1,10-1108,"Two granola bars and pack of gum were eaten. Sun block, and Advil were not eaten but the bottles were punctured. Visitors forgot that they left food in the backpack."
1656,22-May-10,-1,10-1107,Resource units tracked Green 75 to the Curry West Lot and found a Dodge Van that the bear popped out the right rear window of. Green 75 ran away from the vehicle towards the ice rink. The vehicle was filthy and disgusting. Soda and doughnuts as well as tr
1660,23-May-10,-1,10-1131,"""Bounce"" sheets were on the dash of the car. No food was known to be taken."
1661,23-May-10,-1,10-1129,The bear entered through the skylight. There was food still in the vehicle when reporting party arrived on the scene.
1662,24-May-10,0,10-1186,"I found a small cooler in the woods between Lower Pines and Stoneman Meadow. Something had opened it and got a couple of candy bars, some M&Ms, eggs, coffee creamer, and string cheese."
1665,24-May-10,-1,10-1148,The bear was on top of a backpack when the reporting party drove by. It got two partial boxes of crackers and multiple (~5) sodas. The visitors left out a backpack and a cooler the previous night because it started raining and they missed it. The backpack
1664,24-May-10,-1,10-1147,"The visitors were asleep and heard a noise at the bear locker. They woke up and saw the bear. Resource 90 was just around the corner and saw the bear in the locker eating food. The bear pulled the cooler out and ate multiple items including bread, and 2 p"
1663,24-May-10,-1,10-1146,The bear obtained 2 tootsie pops. The visitor was asleep and heard a noise just outside the fence and saw and animal that left immediately. Wildlife staff located bear on telemetry and chased out of area.
1666,25-May-10,-1,10-1187,Victor 33 found three bears eating two granola bars in woods by the parking lot. The sow left quickly but the yearlings needed some more convincing. It is unknown where the food came from. Victor 33 said they were making a lot of noise when he arrived lik
1668,25-May-10,0,10-1168,The drivers window was broken. No food was observed.
1667,25-May-10,-1,10-1167,"The bear got into the locker and ate about 21 Hershey's bars, 2 Reese's bars, and half of a bag of marshmallows. The bear ate for about 15 minutes. The visitors heard a loud bang and when they saw it was a bear, they ran to the front office and called dis"
1669,26-May-10,0,10-1190,The employee's car had a pass #2586. A bear broke out of the front driver side window of an older model thunderbird in the orchard lot. The owner patched up the window with trash bags. The bear returned later and tore a new hole into the plastic.
1673,27-May-10,0,10-1196,"A backpack with food in it was left out on the picnic table. A bag of chips, Cheese Nips, 3 Cliff Bars, and one 20 oz. Mountain Dew was obtained. Orange 66 was seen in the area."
1672,27-May-10,0,10-1195,The bear broke out the rear window. Zicam pills were present and according to Christenson were the only food or smelly item in the truck. Green 75 and Yellow 31 with her 2 yearlings were both seen in the area but not seen on or in the vehicle.
1671,27-May-10,0,10-1194,"A bottle of vodka, empty coke bottle, deodorant, chap stick, and gum were all stored in the passenger compartment of the vehicle. An entire bin of toiletries was in the trunk. The bear broke the driver's side back window. It poked a hole in the vodka, and"
1670,27-May-10,-1,10-1193,The reporting party arrived and saw Yellow 31 and her 2 yearlings walking away from the motorcycle. There were 6 beer cans broken into from inside. The cooler strapped to the back of the motorcycle. The reporting party chased the three bears away. The rep
1677,28-May-10,-1,10-1228,"The bear dragged two bags out of the locker, which was found by resource units wide open. One bag was ripped up and a bag of rolls were taken and eaten out of the bag. The other bag contained no food and was not damaged. The visitors thought that they lat"
1674,28-May-10,0,10-1225,Sometime between 0700 and 1715 a bear damaged the tent of an NPS trails employee. The tent was unattended between those times. The fly and some tent poles were damaged. No food was present.
1676,28-May-10,0,10-1220,"Between 0720 and 1730 the owner of the tent was not there. During the time the owner was away a bear ripped the tent in multiple places. The tent was totally destroyed, and there is positive evidence that it was damaged by a bear. There was no food presen"
1675,28-May-10,0,10-1206,"The bear obtained marshmallows, coffee, olives, tortilla chips, and marinade."
1678,29-May-10,-1,10-1231,Nate from DNC Security witnessed the bear Orange 59 rip the passenger door down and pull garbage out of the vehicle. He yelled at her and she walked off slowly. The damage to the vehicle was pretty severe.
1680,30-May-10,-1,10-1429,"The bear entered the camp, the campers left, the bear then obtained some food. The campers and the reporting party then scared the bear away but the bear wouldn’t leave the area."
1808,30-May-10,-1,10-1287,Bear 3062 came into the visitors campsite near the intersection of Lake Eleanor Rd and the Frog Creek trail junction. The visitors had just finished eating when the bear came into their site and took food and damaged a backpack. The bear then bit into a c
1679,30-May-10,-1,10-1260,The reporting party chased 2394 out of the Camp 4 parking lot and checked vehicles for damage. Upon finishing the reporting party tracked 2394 into the middle of the campground where she was found eating from a pack. 2394 was then chased by the reporting 
1685,31-May-10,0,10-1430,"The visitors heard their locker get hit by something at 03:00. The next morning, they realized something had gotten into their locker and eaten two partial bags of cereal. They said their locker wasn't latched completely."
1684,31-May-10,-1,10-1309,The campers heard a noise and exited their tent and saw a bear taking food out of their locker. The bear made off with a large basket of blueberries.
1683,31-May-10,0,10-1294,There was a box of trash left out with tuna fish and oranges. Although it was trash there was significant left overs and the bear obtained food.
1686,31-May-10,-1,10-1293,The right front window was broken out. The bear entered the vehicle and opened a water bottle and went back in where the grocery bags were which did not contain any food items. There was a bottle of sunscreen in the back of the car. The victim was present
1682,31-May-10,0,10-1292,The frame of the driver's side front door was bent down and the glass was broken. There was a bag of food garbage on the driver's seat. Green 75 was close to the parking lot when the reporting party arrived.
1681,31-May-10,-1,10-1291,The bear broke into the driver's side rear window. The visitors had thoroughly cleaned the vehicle and vacuumed the vehicle and were very distressed because of their efforts.
1692,01-Jun-10,0,10-1432,The bear broke out the rear passenger window. There was no food present.
1691,01-Jun-10,-1,10-1431,The bear snuck up and grabbed a bag of food. The visitors forgot that the food was left out. Campers were in the site setting up the tent. The visitors threw rocks and yelled to no avail.
1693,01-Jun-10,-1,10-1339,The backpack was left on the table while the campers were in the vicinity but not at the campsite. The bear drug a large pack away from camp. No food was present in the pack.
1689,01-Jun-10,0,10-1328,The vehicle's rear drivers side window was broken into by a bear. Two packs were drug out of the vehicle and away from the car. One duffel bag was severely damaged and chewed on. The other pack was a backpack and it was opened at the zipper. No food items
1688,01-Jun-10,0,10-1325,The van had many items in it. The driver's side window was busted out. There were paw prints on the side and front of the van. Also the visor on the front window was broken so that a bear could gain access to the window. The visitor originally claimed tha
1687,01-Jun-10,0,10-1324,"The vehicles back passenger side door  was damaged and the window was broken. Glass was covering the back seat. Several scented items were in the vehicle including scope mouthwash, hot sauce packets, and empty sunflower seed packets. The visitors reported"
1690,01-Jun-10,-1,10-1323,"There was granola, pound cake, HoHos, four packs of Top Ramen, and Gatorade taken from the locker. The visitors heard a bear hitting the locker and then the bear was in the locker. The visitors flashed a light at the bear and yelled but the bear did not l"
1723,02-Jun-10,-1,10-1888,"The bear came into the visitors campsite four to five times on 6/1/2010. It chewed and sniffed a backpack, tried to get into a bear locker, and then sat down about twenty feet from the visitors and just stared at them. On 6/2/2010 the bear ripped and brok"
1709,02-Jun-10,-1,10-1669,"On 06-01-2010 at 10:00, visitors were returning from a day canoe trip to find bear chewing on a backpack. Once they arrived at their site and saw the bear, they scared the it away and found their tent was ruined. The tent and one air mattress was ripped a"
1698,02-Jun-10,0,10-1349,There was lots of food in the vehicle. The bear ate Cliff Bars. The vehicle was towed at Camp 4 two nights earlier by J. Hoeflich for improper food storage. The visitor complained about being towed and then proceeded to leave food in their vehicle for the
1697,02-Jun-10,0,10-1348,The bear gained entry into the camper shell of the truck. Unknown if food present.
1696,02-Jun-10,0,10-1347,The vehicle smelled strongly of cigarettes. There was an old coffee cup in the front seat. The front passenger window was broken out. A moldy orange was laying on the ground nearby with some glass. The owner of the vehicle could not be identified based on
1695,02-Jun-10,0,10-1345,"The bear entered the vehicle through the drivers side door. There was lots of ""junk"" in the vehicle."
1694,02-Jun-10,0,10-1344,"The vehicle was broken into by a bear. Many food items were in the car including a grocery bag of food. The bag was drug out and the items eaten include chocolate, a bag a barbecue chips, and carrot sticks. Another cooler was in the back of the vehicle wi"
1705,03-Jun-10,-1,10-1386,"358 Warren chased Orange 59 away from Sentinel Beach Picnic Area where she was eating someone's unattended picnic. By the time Resource 89 arrived, the party had cleaned up and left, so it is unknown how much food was obtained, but apparently it ""looked l"
1703,03-Jun-10,0,10-1373,"The bear popped molding and lock on the rear window of a camper shell. The molding was chewed and ripped. No food items were present in the vehicle. The bear crawled inside to investigate things and bit a box to a water filter, but nothing was pulled out "
1702,03-Jun-10,0,10-1372,"There were bear paw prints all over the vehicle. The front paw was approximately four to five inches across. The vehicle had many items inside and was very messy, but the bear tipped and opened up a Tupperware with Dr. Brommer's soap and other toiletries "
1701,03-Jun-10,0,10-1371,The rear passenger's side back window on the van was broken out. There were many items in the van including cookware. It is unknown what attractants were in the vehicle.
1700,03-Jun-10,0,10-1370,"There was food garbage in the back of the vehicle. A reusable grocery bag was torn into. The vehicle's drivers side rear window was broken out and the frame was bent down, causing damage to the rear passenger door."
1708,03-Jun-10,0,10-1369,The right passenger door of the car was pulled down. There were a lot of items inside.
1699,03-Jun-10,0,10-1368,"The bear broke the driver's side window out, obtained and broke a Tupperware that contained various toiletries. The toiletries included toothpaste, cough drops, pills, and soap. Paw prints covered the car with the back paw being approximately six inches l"
1704,03-Jun-10,-1,10-1365,Jeffrey Trust saw a bear running the opposite direction of the car. There were paw prints all over the vehicle. The back side window was broken. A backpack was on the ground next to the vehicle with food trash beside the pack. J. Trust yelled at the bear 
1706,04-Jun-10,0,10-1396,4 cans of beer were left outside the camper in a cooler.
1707,04-Jun-10,0,10-1394,"The door frame of the car was bent back about 1 inch with window glass intact. There was no visible food in car but many other items present: climbing gear, bicycle, and water bottles. Yellow 31 was very close on telemetry and is the likely culprit. The b"
1712,06-Jun-10,0,10-1459,"The driver's side window was peeled back and the window was broken. The vehicle possibly had toiletries in their trunk. The back seat was pulled at by the bear, and foam was pulled out of the seat. A nearby camper heard the window break but did not see th"
1710,06-Jun-10,0,10-1443,"Visitor's vehicle was damaged but no food was present inside. There was a box inside car that may have looked like a cooler. There was also climbing equipment, skis, and clothes present in car."
1711,06-Jun-10,0,10-1442,The visitor left food in a cooler within their camper shell. Ranger L. Schwille issued a citation under the same case number.
1713,07-Jun-10,-1,10-1482,A message was left on the bear hotline of a bear grabbing a loaf of bread from a picnic table. The bear approached the picnickers. The visitor's dog chased the bears across the road. There was no further information from the hotline report.
1714,09-Jun-10,0,10-1501,"The right rear window molding was torn, and the tool box (diamond plate) mounted on the bed of the pickup was torn open. There was food in the tool box and paper wrappers (two candy wrappers) were in the bed of the pickup."
1715,09-Jun-10,-1,10-1499,"The bear was laying down in the second loop of Upper Pines. When resource units spotlighted him, he got up and had a large can of gourmet hot chocolate in his mouth. The bear was chased through the campground and he dropped the hot chocolate before resour"
1724,10-Jun-10,-1,10-1889,Two bears approached the Snack Stand and tried to reach for the condiments. An employee scared the bears away but a visitor nearby became frightened and threw her hotdog on the ground and ran away. The bears ate the hotdog.
1716,10-Jun-10,-1,10-1548,"Bear 3565 destroyed a daypack and obtained : almonds, granola bars, and a sandwich. Orange 66 and Orange 59 were tearing into logs just off the Mirror Lake road and a crowd of visitors came within 20 feet to watch the feeding. The visitors half circled th"
1717,11-Jun-10,-1,10-1573,The bear was observed running from the vehicle and was identified by telemetry as 3001. The damage was to the camper shell and some plywood inside. One candy bar was consumed.
1719,11-Jun-10,-1,10-1561,The incident was reported to the Wildlife Office by Noreen from YA. A group was moving from site C to site D in Yellow Pines. They left a box of crackers on top of a bear box. A collared bear began to eat the crackers. Noreen yelled and slammed a bear loc
1725,11-Jun-10,0,10-1560,The pickup cover was ripped and a cooler was in the bed of the truck. No food was observed.
1720,12-Jun-10,-1,10-1603,The visitors were sitting at their picnic table with their backs to the table. The bear came from behind and took a black plastic bag from the top of the table and ran away towards Happy Isles.
1726,12-Jun-10,0,10-1598,A camelback with the bladder and many bars was ravaged by a bear. It was found near Camp 4.
1728,13-Jun-10,-1,10-1629,The visitor was standing in front of their locker getting food out of it and a bear came up behind him and grabbed a bag of marshmallows from the top of the box. The camp host chased it out of camp and about 5 minutes later the bear was back in the next s
1727,13-Jun-10,-1,10-1616,Victor 43 was informed of a bear on top of a car at Sentinel Beach. The bear was on top of a black Honda Element with a Thule cargo container attached to the roof. The bear had already torn the middle section of the container open and was trying to pull a
1722,13-Jun-10,-1,10-1607,
1721,13-Jun-10,-1,10-1604,Resource units saw bear 2394 running from Lower Pines into Boystown. Upon returning they found that she had ran from a vehicle that she had broken into. The drivers side rear window was broken with some damage to the moldings as well. The vehicle was filt
1729,17-Jun-10,-1,10-1698,As resource units were driving past Wahoga they spotted eye shine. They investigated and found a cooler that had been left out with food strewn about. A cooler full of drinks was also left out nearby. They woke up a man sleeping in an adjacent truck and e
1731,18-Jun-10,0,10-1735,"No food was found in the vehicle, visitors had their backpacks with them. The vehicle was a rental car from National Rental Car."
1730,18-Jun-10,0,10-1730,A backpack and cooler were visible in the vehicle but it is unknown if there was food in either. A very small window at the rear of the drivers sided was broken into.
1732,19-Jun-10,-1,10-1774,The visitors removed an ice chest from their locker and left it cracked open while standing ten feet away. They saw a bear investigating their stuff and yelled. The bear grabbed an empty pack off of the top of the locker and ran off. The pack was not retr
1733,20-Jun-10,-1,10-1836,"This is a secondhand report taken on the cables of Half Dome, so there is limited information. Some visitors reported that the campsite next to them at the Sunrise Junction had a stuff sack chewed on by a bear. No food was present, but the bear also enter"
1738,20-Jun-10,-1,10-1800,"The bear broke in through the rear passenger side window. The car contained toiletries, beer, assorted food items (candy, applesauce, etc.), and trash. The paw prints on the vehicle looked pretty small."
1737,20-Jun-10,0,10-1779,The bear entered the car through the right side front door.
1736,20-Jun-10,0,10-1778,The bear entered the right front passenger window and then tried to enter the trunk through the back seat.
1734,20-Jun-10,0,10-1777,A carrier box attached to the receiver hitch of the vehicle was broken into. The bear ripped the box off of the carrier. DNC reports that food was in the carrier.
1735,20-Jun-10,0,10-1753,The bear entered through the right rear camper window.
1751,21-Jun-10,0,10-1850,The visitors reported that no food or anything scented was in their vehicle at the time of the break in. There was no food or garbage when the vehicle was inspected by the reporting party. No one reported to see or hear a bear.
1740,21-Jun-10,-1,10-1803,The bear broke in through the rear passenger side window. There was lots of food in the vehicle and the Desk Officer recommended an impound.
1741,22-Jun-10,0,10-1832,"The visitors claim that no food was left in the vehicle, but there was possibly trash in there. The visitors were staying in site 33 in Camp 4 and were woken up in order to remove their expensive camera from their vehicle."
1739,22-Jun-10,0,10-1831,The door and window were destroyed on the left rear side. No food was observed but there was a large amount of cosmetics and medicine. There was also lots of climbing equipment in the vehicle.
1742,22-Jun-10,0,10-1801,The bear broke in to the RV portion of the cab over the truck. The bear pulled a stove off of the canister and caused a propane leak. The RP witnessed a fireball come out of the vehicle.
1748,23-Jun-10,-1,10-1891,The bear climbed on top of a hard sided trailer and broke into the window/vent on the top. There were paw prints and hair left on the trailer. The visitors woke up to a banging noise and when they got up the bear ran away with a bag of chips. Resource uni
1747,23-Jun-10,0,10-1890,The window of the vehicle was broken overnight. The passenger window was left open approximately one inch. A puncture to a camera bag was the only sign of a bear inside the vehicle. An empty coffee cup was in the vehicle.
1746,23-Jun-10,-1,10-1862,The visitor was approximately 20 feet from an open bear locker with food on top of it. The bear grabbed potatoes while the visitor was putting away food. The bear continued to approach camp. The bear ate spaghetti sauce while a visitor was yelling from le
1745,23-Jun-10,0,10-1860,The vehicle was left for an hour while the resident was hiking. The rear driver's side window was broken out. The back passengers side floor mat was also chewed on and pulled out. A bear jam occurred at the same time as the incident. The bear observed at 
1743,23-Jun-10,0,10-1856,"There were paw prints on the front, side, and rear windows, as well as on the hood, all over the doors, roof, and trunk. The molding on the driver's side and passenger side windows were ripped off. There was a lot of trash in the rear of the car, includin"
