IncidentID,IncidentDate,IncidentTime,Location,LocationDetail,Subdistrict,BlameFactorDesc,IncidentDescription,PropertyTypeID,DamageAmount
1601,2010-04-08,11:45:00,Lower Housing NPS,9001 Ponderosa Lane,Yosemite Valley,Food Conditioned Behavior,Attempted entry at garage door. Bent door but did not enter. No food present.,15,25
1602,2010-04-09,0:30:00,Lower Housing NPS,9012 Oak Lane,Yosemite Valley,Food Conditioned Behavior,"Residents Paul Doherty and Stephanie Hance awoke to the sound of a bear climbing through their laundry room door. They yelled at the bear but were afraid to open the door. The bear ran back out the way it came in before they got a look at it. I responded and upon spotlighting the house across the street found a large dark brown bear with a green tag in its left ear on the side of the house peering through a window. Once spotlighted, the bear ran around the west side of the apartments and across the road towards the cemetery. The bear was not collared and I was picking up bear #3001 a long distance off. The bear entered the house by pulling the upper window off the door and peeling back the lower window to get in. No food was present or obtained, just laundry odors.",15,150
1603,2010-04-09,,NPS Valley Stables,Office,Yosemite Valley,Food Conditioned Behavior,"Bear entered through flimsy wooden front doors, became trapped in the office and exited by breaking a window. While inside, it got into the refrigerator and obtained creamer, crystal light, probiotics, and horse de-wormer. There were also Schedule 1 drugs in the refrigerator (Lydocaine).",15,200
1603,2010-04-09,,NPS Valley Stables,Office,Yosemite Valley,Food Conditioned Behavior,"Bear entered through flimsy wooden front doors, became trapped in the office and exited by breaking a window. While inside, it got into the refrigerator and obtained creamer, crystal light, probiotics, and horse de-wormer. There were also Schedule 1 drugs in the refrigerator (Lydocaine).",19,200
1604,2010-04-09,23:57:00,Yosemite Medical Clinic,,Yosemite Valley,Food Conditioned Behavior,Nurse Scott Barlow reported a disturbance at the back of the clinic. He saw a bear attempting to gain entry to the rear doors and called dispatch. We responded from lower housing to find a large brown bear with green tag in left ear exiting the rear clinic doors with food in its mouth. I chased the bear towards Church Bowl and the bear dropped the ice packs and food. It then paused on a rock uphill and broadside to me giving me a clear view of its profile (left side). The bear is the same one we have seen around breaking into houses and in the housing area.,18,10
1604,2010-04-09,23:57:00,Yosemite Medical Clinic,,Yosemite Valley,Food Conditioned Behavior,Nurse Scott Barlow reported a disturbance at the back of the clinic. He saw a bear attempting to gain entry to the rear doors and called dispatch. We responded from lower housing to find a large brown bear with green tag in left ear exiting the rear clinic doors with food in its mouth. I chased the bear towards Church Bowl and the bear dropped the ice packs and food. It then paused on a rock uphill and broadside to me giving me a clear view of its profile (left side). The bear is the same one we have seen around breaking into houses and in the housing area.,19,40
1605,2010-04-10,,Upper Pines Campground,#33,Yosemite Valley,Improper food storage,Bear box was left open and all the contents were removed by a bear.,18,25
1606,2010-04-11,,NPS Valley Stables,Office,Yosemite Valley,Food Conditioned Behavior,During patrol through the NPS maintenance lot I noticed that the stables office door was ripped open again for the second night in a row. The bear pushed the weakened door open and went for the fridge. The bear bit into a bottle of water and that was it.,19,2
1607,2010-04-11,,Lower Housing NPS,Kelly Martin's residence.,Yosemite Valley,Food Conditioned Behavior,Kelly's neighbor reported a damaged rear door on the house to dispatch who notified us. The residents were out of town. We found the rear door had been broken through most likely by the same bear that ripped into two adjacent houses less than 100 yards away.,15,75
1608,2010-04-11,1:30:00,Lost Arrow Housing,Dorm room #3,Yosemite Valley,Unknown,3rd hand report of bear entering the dorm room through the window. Bear opened the window and tore out the blinds then it was chased back out the same window. Details are pending - very vague 3rd hand report. Residents who were involved were asked to call us with further details.,15,80
1609,2010-04-11,2:30:00,Lower Housing NPS,"9004 Lost Arrow, Mates' residence",Yosemite Valley,Food Conditioned Behavior,Bear ripped off the screen front door. Dogs went crazy scaring the bear off. The Mates did not hear the door being damaged. Did not gain entry.,15,150
1610,2010-04-11,2:35:00,Lower Housing NPS,Jim McKenzie's residence,Yosemite Valley,Food Conditioned Behavior,Bear ripped out the lower window of the back door and damaged the screen. Jim yelled and the bear did not leave. He then wielded his light sabers which was effective in scaring the bear away.,15,50
1611,2010-04-13,22:00:00,Curry Parking - West,,Yosemite Valley,Unknown,Victim Phone #: 248-259-2395 DNC at break-in site with car and victim when we arrived. After looking around parking lot I spotted a bear running toward Curry Village.,17,200
1612,2010-04-13,2:47:00,Curry Parking - West,,Yosemite Valley,Improper food storage,Huff House 215: Bear opened the camper shell door of an S-10 full of food. The bear obtained a box of oatmeal and a jar of peanut butter. Bear returned and was positively identified. The vehicle was towed and the owner will be cited by Jared Mitrea.,17,25
1612,2010-04-13,2:47:00,Curry Parking - West,,Yosemite Valley,Improper food storage,Huff House 215: Bear opened the camper shell door of an S-10 full of food. The bear obtained a box of oatmeal and a jar of peanut butter. Bear returned and was positively identified. The vehicle was towed and the owner will be cited by Jared Mitrea.,18,10
1613,2010-04-17,5:30:00,Housekeeping Camp,#A268,Yosemite Valley,Improper food storage,"A visitor heard lots of banging in a neighboring site and when she got up to use the bathroom she saw a bear eating an entire campsite of Chinese takeout. The woman became frightened and hurried back to tell her husband. He got up about 10 minutes later. When he shone the flashlight at the bear if went around the corner. When the man came out of the bathroom, the bear finished eating all the contents of the site and slowly walked off. The visitors whose food was eaten left without reporting the incident and the front desk had no contact information. Visitors in the neighboring site showed Resources 90 pictures of the destroyed site.",18,50
1614,2010-04-08,5:00:00,Lower Housing NPS,9011 Ponderosa Lane (Res 48),Yosemite Valley,Food Conditioned Behavior,"The bear broke down the back door, entered laundry room, tore 2 sets of blinds off of the windows, pushed the top sash of one window down (storm window intact), and started trying to open the kitchen door by pounding on it. Fortunately the kitchen door opens out rather than in so it stood up to the bear pounding on it till the resident woke up and came down with his wife. No food was taken or present in the laundry room. Three days later Jack Hoeflich observes a bear with an orange tag going up to the now boarded up door and chased it off.",15,500
1615,2010-04-19,6:15:00,Upper Pines Campground,Site 67,Yosemite Valley,Unknown,"A bear described as large (about the same size as a bear locker) got into a bear locker. The visitors heard the latch lift and opened the door. They threw a broom out and the bear didn't turn around. They threw a boot and hit the bear and it still didn't leave. The visitor went to get dressed and the bear left before he cam out again. The bear ate lays, chocolate, and marshmallows and left the other food. The visitors heard a noise at the next site over but no more yelling. They insist the locker was closed properly.",18,40
1616,2010-05-18,1:30:00,Huff House,Cabin 222,Yosemite Valley,Improper food storage,"Bear 3562 was in Huff House. Resource units were looking for her, and when they found her, she tried to grab a stick of butter that was laying on the ground. The bear missed it, tried to do a second run-by, and missed it again. She was then chased off. It looked like someone had dropped food on their porch, but resources were unable to locate the residents.",18,2
1617,2010-05-18,,Curry Orchard Lot,Near the bus stop,Yosemite Valley,Unknown,"Vehicle had severe damage to the left rear door and window, the back interior, and left outside mirror. No food was claimed to be present in the vehicle. Vehicle was not drivable. Hotel 21 was called to the scene and impounded the car. Photos were taken by campgrounds ranger. The plastic from the inside panel of vehicle was chewed. Bear prints were all over the vehicle and the hind paw print was roughly 6 inches long.",17,4000
1618,2010-04-19,6:15:00,Upper Housing NPS,9011 Indian Canyon Rd,Yosemite Valley,Child's Car Seat,"The victim's dog barked and the owner looked out the window of his house and saw a bear near his car. The resident chased the bear away from the car and noticed a green tag in the left ear of the bear (he felt pretty confident with the identification). The rear left window of the minivan had been broken out. Sandy bear paw prints were on the side of the vehicle and the other windows. Resident said the bear was a very cinnamon color and very large. When the resident chased the bear it ran away. While taking the incident report Green 75 (3001) was heard on telemetry at moderate strength, however Green 75 has a right ear tag and the reported bear's tag was in the left ear (with moderate certainty).",17,200
1619,2010-04-21,1:05:00,Yosemite Lodge Housekeeping Dock,,Yosemite Valley,Improper garbage disposal,The bear ripped through a metal screen to obtain recycling that was temporarily being stored in the screened off area of the back dock.,15,25
1620,2010-04-22,2:00:00,Housekeeping Camp,Site 254,Yosemite Valley,Unknown,"The food was in an ice chest in the locker, which was probably not fully closed. Food eaten by bear includes chicken, cheese, sausage, and peppers.",18,50
1621,2010-04-23,3:00:00,Upper Pines Campground,Site 62,Yosemite Valley,Unknown,"The bear got into a bear locker and ate for thirty minutes. Cereal, ginger snaps, oranges, mayonnaise, and apples were among the items eaten (A whole bear box of food). The visitors heard a large bang and then could hear the bear opening packages. They claim that the locker was properly latched.",18,150
1622,2010-04-24,14:00:00,El Capitan - Base,At Little John Right,Yosemite Valley,Improper food storage,"The report was taken from a third party observer of the incident. The visitor was climbing below a party whose packs were on the ground. The visitor witnessed bear 3062 grab 2 packs and drag them off into the woods. The party above admitted to having food in their packs, but the quantity was unknown. The visitor saw the party collecting their damaged packs on his descent.",18,10
1622,2010-04-24,14:00:00,El Capitan - Base,At Little John Right,Yosemite Valley,Improper food storage,"The report was taken from a third party observer of the incident. The visitor was climbing below a party whose packs were on the ground. The visitor witnessed bear 3062 grab 2 packs and drag them off into the woods. The party above admitted to having food in their packs, but the quantity was unknown. The visitor saw the party collecting their damaged packs on his descent.",12,50
1623,2010-04-25,14:00:00,Manure Pile,Top of Jump for Joy,Yosemite Valley,Improper food storage,"The food in the packs included a peanut butter sandwich, goo, sunscreen, an orange that wasn’t eaten, and a bag of nuts. The reporting party was a guide who was up on a ledge with clients. Their backpacks were below them about 20 feet away on a second ledge of 3rd class terrain. Another party was on or close to the ledge with their packs. The RP said she turned to look for the packs to check on them and they were gone. A second party told her that they saw a bear so the RP went down and found all packs but one of her clients. RP's pack was ripped and wouldn’t zip, clients pack remains unrecovered. The unrecovered pack contained the clients wallet, Leatherman and cell phone. The guide said that there was no room in the locker at the base which was surrounded by 20 kids and their stuff. She said she didn’t think of a bear and thought they were close enough to their stuff.",18,10
1623,2010-04-25,14:00:00,Manure Pile,Top of Jump for Joy,Yosemite Valley,Improper food storage,"The food in the packs included a peanut butter sandwich, goo, sunscreen, an orange that wasn’t eaten, and a bag of nuts. The reporting party was a guide who was up on a ledge with clients. Their backpacks were below them about 20 feet away on a second ledge of 3rd class terrain. Another party was on or close to the ledge with their packs. The RP said she turned to look for the packs to check on them and they were gone. A second party told her that they saw a bear so the RP went down and found all packs but one of her clients. RP's pack was ripped and wouldn’t zip, clients pack remains unrecovered. The unrecovered pack contained the clients wallet, Leatherman and cell phone. The guide said that there was no room in the locker at the base which was surrounded by 20 kids and their stuff. She said she didn’t think of a bear and thought they were close enough to their stuff.",12,75
1623,2010-04-25,14:00:00,Manure Pile,Top of Jump for Joy,Yosemite Valley,Improper food storage,"The food in the packs included a peanut butter sandwich, goo, sunscreen, an orange that wasn’t eaten, and a bag of nuts. The reporting party was a guide who was up on a ledge with clients. Their backpacks were below them about 20 feet away on a second ledge of 3rd class terrain. Another party was on or close to the ledge with their packs. The RP said she turned to look for the packs to check on them and they were gone. A second party told her that they saw a bear so the RP went down and found all packs but one of her clients. RP's pack was ripped and wouldn’t zip, clients pack remains unrecovered. The unrecovered pack contained the clients wallet, Leatherman and cell phone. The guide said that there was no room in the locker at the base which was surrounded by 20 kids and their stuff. She said she didn’t think of a bear and thought they were close enough to their stuff.",19,100
1624,2010-04-27,1:30:00,Housekeeping Camp,Site 237,Yosemite Valley,Improper food storage,A bear obtained food by banging on the locker. The latch opened and the bear got food from a cooler.,18,30
1625,2010-04-27,22:30:00,Housekeeping Camp,Site 177,Yosemite Valley,Improper food storage,"The bear obtained sausages, peanut butter, cheese, ham, fruit, etc. (about 2 grocery bags of food). People heard the bear in a locker and yelled at it for about fifteen minutes before the bear finally left. When asked how big the bear was the visitors indicated that it was about 4 feet high. They weren't sure the locker was properly latched.",18,50
1626,2010-04-30,15:00:00,El Capitan - Base,,Yosemite Valley,Food Conditioned Behavior,"Resource 90 was hiking up to the base of El Capitan to climb on days off. Bear 3062 was seen in the clearing on the approach trail ripping into a pink bag. Resource 90 chased bear off of stuff and up into the woods, but the bear continued to chew the bag it had drug off. Resource 90 backed off so that the bear would drop the bag, which it did. She then attempted to scare the bear away from the bag to retrieve it, and 3062 bluff charged. After giving the bear some space, she chased it and treed it. The bear huffed and only went 15 feet up. A visitor reported to Resource 90 that she and her children were watching climbers sitting down when a bear approached them from the woods. The woman was scared for her children so she gathered them and their packs, but hers was left. No food was in the pack, but a fragrant container of Burt's Bees hand salve was at the bottom. The bear chewed and ruined the bag.",12,15
1627,2010-04-30,1:30:00,Housekeeping Camp,Site 503,Yosemite Valley,Improper food storage,"The visitors heard a bear hitting the food locker, and observed it eating. They saw a yellow ear tag. The food eaten included snacks, candy bars, and Motrin (drug for baby).",18,20
1628,2010-04-30,2:00:00,Housekeeping Camp,Site 41,Yosemite Valley,Improper food storage,"Visitors heard the bear hitting the food locker and observed a bear with a yellow tag eating from it. The bear bluff charged them twice and ate pasta salad, 32 oz. of hummus, and flavored water.",18,50
1629,2010-05-01,3:05:00,Yosemite Lodge Housekeeping Dock,,Yosemite Valley,Improper food storage,A bear re-opened a flimsy screen that has been broken into for several consecutive nights by bears to obtain trash and recycling.,15,25
1630,2010-05-09,0:30:00,Housekeeping Camp,Site 87,Yosemite Valley,Improper food storage,"The bear obtained a hand full of peanuts by tearing a hole in a small camelback. The visitor said that their child forgot to store the food properly. The visitors heard the bear and chased it off. It was reported as being a small, light golden brown bear, unknown if the bear was tagged (reported by Security 74-Ian).",18,5
1630,2010-05-09,0:30:00,Housekeeping Camp,Site 87,Yosemite Valley,Improper food storage,"The bear obtained a hand full of peanuts by tearing a hole in a small camelback. The visitor said that their child forgot to store the food properly. The visitors heard the bear and chased it off. It was reported as being a small, light golden brown bear, unknown if the bear was tagged (reported by Security 74-Ian).",12,30
1631,2010-05-09,1:24:00,Housekeeping Camp,Site 205,Yosemite Valley,Improper food storage,"Granola bars were obtained by the bear. The visitors left the food out unintentionally. Resource units watched the bear pull it out of the hanging bag and lay down to eat the bar. Resource units snuck up to 25 yards, yelled, and fired 3 slugs as the bear ran towards the beach.",18,5
1632,2010-05-09,3:30:00,Housekeeping Camp,Sites 81 and 180,Yosemite Valley,Improper food storage,Some food was left out in the outside space of the tent cabins. The bear returned at 0600 and was chased away by occupants. It was the same bear as several earlier incidents. A bagel was obtained.,18,5
1633,2010-05-12,0:45:00,Upper Pines Campground,Site 95,Yosemite Valley,Unknown,Resource units spotted a bear on food next to an open locker. Resource 90 chased the bear out of the campground and got a partial ID. The bear was cinnamon colored and looked like a small adult. The visitors enthusiastically claimed that thy closed their locker and checked that it was latched. They didn't hear anything from their tent until resource units arrived.,18,20
1634,2010-05-13,0:30:00,North Pines Campground,Site 314,Yosemite Valley,Unknown,"Bear obtained orange juice, butter, oatmeal, and pizza sauce. The visitors were in their tent when they heard a noise. They looked out and saw a bear messing with their locker. They said they watched it open their latched locker and get food. The man got out of the tent and the bear stepped towards him and then returned to the locker. Their neighbors then scared the bear away. The description sounded like bear 1278 and the telemetry box picked up 1278 at the time of the reported incident.",18,15
1635,2010-05-18,,Curry Parking -East,,Yosemite Valley,Improper food storage,"The vehicle was packed up with suitcases, food, and miscellaneous other items. The damage was to the passenger side rear window. The latch was broken and the window popped all the way off. There were deep scratches on the roof as well. The rear drivers side window was also popped out and locked. The back windshield wiper was also bent. There were bear paw prints all over the van, including the roof. Sun Chips, coffee, and drink cups were visible from the windows.",17,150
1635,2010-05-18,,Curry Parking -East,,Yosemite Valley,Improper food storage,"The vehicle was packed up with suitcases, food, and miscellaneous other items. The damage was to the passenger side rear window. The latch was broken and the window popped all the way off. There were deep scratches on the roof as well. The rear drivers side window was also popped out and locked. The back windshield wiper was also bent. There were bear paw prints all over the van, including the roof. Sun Chips, coffee, and drink cups were visible from the windows.",18,20
1636,2010-05-15,,Lower Housing NPS,9008 Lost Arrow Rd,Yosemite Valley,Unknown,"Resident purposely left windows of vehicle down. In the morning, the car was dirty with slobber all over, and a water bottle had bite marks on it.",19,30
1637,2010-05-15,3:45:00,North Pines Campground,Site #212,Yosemite Valley,Improper food storage,Food locker was left open. Bear obtained marshmallows and food bars.,18,25
1638,2010-05-16,,Lower Housing NPS,9018 Lost Arrow Rd,Yosemite Valley,Food Conditioned Behavior,"The bear ripped the screen off of the back door of a secured building and a wood panel off of the door frame to the garage, but did not gain entry in either case.",15,30
1639,2010-05-16,,Lower Housing NPS,9018 Lost Arrow Rd,Yosemite Valley,Food Conditioned Behavior,"Bear broke front driver's side window. No damage was done to the interior or frame of the car. Baby seats were present, but undamaged.",17,200
1640,2010-05-16,,Lower Housing NPS,9012 Lost Arrow Rd,Yosemite Valley,Food Conditioned Behavior,"Bear entered a car through the sun roof, popped off glass, and broke the panel. Damage was done to both leather seats in front. There was also damage to the passenger's side rear window and a panel in the trunk of the car panel which was popped off and cracked. Also a puncture to one of the rear seats and the rear wiper was bent. No food present, but baby seats were in the vehicle. Some scratches were on the pain as well.",17,1200
1641,2010-05-18,,North Pines Campground,Site unknown,Yosemite Valley,Unknown,"A backpack was found across the road in North Pines from site #111. It is unknown where the pack came from. A bear ate a handful of small hard candies and two energy goo packets. The bear bit into Vaseline and bug repellent, as well as an unmarked bottle of capsules full of white powder. The bear also bit into a couple of the capsules. The bear also tore the bottom of a backpack with a camera inside which was turned over to law enforcement.",18,5
1641,2010-05-18,,North Pines Campground,Site unknown,Yosemite Valley,Unknown,"A backpack was found across the road in North Pines from site #111. It is unknown where the pack came from. A bear ate a handful of small hard candies and two energy goo packets. The bear bit into Vaseline and bug repellent, as well as an unmarked bottle of capsules full of white powder. The bear also bit into a couple of the capsules. The bear also tore the bottom of a backpack with a camera inside which was turned over to law enforcement.",12,40
1642,2010-05-17,2:00:00,Housekeeping Camp,#218,Yosemite Valley,Improper food storage,"Bear 3562 got into an unlatched bear locker and took a loaf of bread. She probably ate a third of the loaf before we caught up with her. The bear treed with the bread, then ran with it a ways before she finally dropped it.",18,5
1643,2010-05-17,,Ahwahnee Parking,,Yosemite Valley,Improper food storage,Visitors stored food in a backpack within a locked tool box in the bed of their truck. Damage was done to the lock lugs (repairable). Scat was present beside the vehicle. Bear obtained a bag of food including oranges and canned goods.,17,50
1643,2010-05-17,,Ahwahnee Parking,,Yosemite Valley,Improper food storage,Visitors stored food in a backpack within a locked tool box in the bed of their truck. Damage was done to the lock lugs (repairable). Scat was present beside the vehicle. Bear obtained a bag of food including oranges and canned goods.,18,50
1644,2010-05-17,,Ahwahnee Parking,,Yosemite Valley,Improper food storage,"A bear obtained two types of pasta, popcorn, and packaged meat from an improperly latched locker at the Ahwahnee Parking Lot. The bear had a very shiny reddish coat and there was a pile of scat very near the locker.",18,20
1645,2010-05-17,,Camp 4 Parking,,Yosemite Valley,Improper food storage,Latches to rear window of camper shell were damaged and condiments were taken from a plastic storage container within the camper shell.,17,50
1645,2010-05-17,,Camp 4 Parking,,Yosemite Valley,Improper food storage,Latches to rear window of camper shell were damaged and condiments were taken from a plastic storage container within the camper shell.,18,10
1646,2010-05-17,,Camp 4 Parking,,Yosemite Valley,Unknown,"A red North Face backpack was found near the Camp 4 parking lot next to a small scat. Suntan lotion, snacks, 2 pairs of sunglasses, 3 walkie-talkies, and a ""Hothands"" cap in neon. Items stored in ranger briefing office at the lost and found locker.",18,20
1647,2010-05-18,0:43:00,Lower Pines Campground,Site unknown,Yosemite Valley,Improper food storage,A bear got a cup of dog food that was left out in an unknown site. Resource rangers were following her at the rime and chased her away from it.,18,2
1648,2010-05-18,,Camp 4 Parking,,Yosemite Valley,Improper food storage,"A bear broke out the left rear door window, entered the vehicle and did some damage to a seat. The bear ate four apples and steaks were also reportedly in the back.",17,300
1649,2010-05-18,,Camp 4 Parking,,Yosemite Valley,Unknown,Driver's side door of a vehicle was slightly bent. Paw prints were all over the car. The bear did not get in the vehicle. It's possible that the damage could be a day old.,17,400
1650,2010-05-19,,Upper Pines Campground,Site #146,Yosemite Valley,Improper food storage,"Bear locker open and a couple of Cliff bars, pita chips, carrots, and peas were eaten. Visitors didn't hear anything. Resource rangers found it open when they were spotlighting. There is a possibility that the incident was caused by two nearby raccoons. The food was scattered unlike most bear incidents and a surprisingly small amount of food was consumed.",18,10
1651,2010-05-18,8:15:00,Housekeeping Camp,A 267,Yosemite Valley,Improper food storage,A cooler was left out overnight. Some students saw the bear. Bear obtained cheese and candy from the cooler.,18,20
1652,2010-05-20,,Yosemite Lodge Parking,Tour bus parking,Yosemite Valley,Improper food storage,"The back window on the passenger's side of the van was slid open by the bear. No damage was done to the window, but the screen was ripped. Food was present in the vehicle as well as incense sticks and strong odors. Resident reported not knowing food was in the vehicle.",17,10
1653,2010-05-19,,Camp 4 Overflow Parking,,Yosemite Valley,Improper food storage,Visitor's first time in Yosemite. They arrived late (02:30) and told by a ranger to park in the overflow parking and stay in Camp 4. Bear obtained food from the camper shell including eggs and milk in an ice chest.,17,100
1653,2010-05-19,,Camp 4 Overflow Parking,,Yosemite Valley,Improper food storage,Visitor's first time in Yosemite. They arrived late (02:30) and told by a ranger to park in the overflow parking and stay in Camp 4. Bear obtained food from the camper shell including eggs and milk in an ice chest.,18,20
1654,2010-05-20,1:30:00,Housekeeping Camp,Site 166,Yosemite Valley,Unknown,"The bear ate 3 lbs. of bacon and turkey. The visitors were asleep and heard an ice chest drop and then heard licking. They came out and the bear kept eating. The visitor hit the locker and the bear didn’t move. The visitor hit the bear on the head a couple of times with a walking stick and the bear ran away about ten feet and stopped. The bear then took a couple of steps towards the food before leaving. The bear walked (not ran) away. The people think they may have seen a collar but were very unsure. Orange 59 had just set off the alarm and was chased out of Housekeeping about 15 minutes later, but the visitors said they saw a white tag.",18,30
1655,2010-05-22,,Ranger Club Parking,Ranger Club Parking Lot,Yosemite Valley,Unknown,The bear tore the back of the pickup bed cover. No food was present in the cab or bed of the truck. The bear did not gain entry into the bed of the truck.,17,500
1656,2010-05-22,3:10:00,Curry Parking - West,,Yosemite Valley,Improper food storage,Resource units tracked Green 75 to the Curry West Lot and found a Dodge Van that the bear popped out the right rear window of. Green 75 ran away from the vehicle towards the ice rink. The vehicle was filthy and disgusting. Soda and doughnuts as well as trash was present. Bear obtained some food but unaware what food or how much (looks like candy and a few doughnuts). The baby seat that was present was very dirty and coated with unknown substances that smelled rancid.,17,200
1657,2010-05-21,,Curry Parking -East,,Yosemite Valley,Improper food storage,"Visitor had been in backcountry, returned to vehicle and stored a ""cleaned"" BBQ grill inside several black trash bags. Camped in Backpackers and returned this morning to a peeled passengers side door. The BBQ appeared to have been the target and no other food, trash or toiletries were involved.",17,200
1658,2010-05-22,,Housekeeping Camp,Housekeeping Camp K 351,Yosemite Valley,Improper food storage,"Two granola bars and pack of gum were eaten. Sun block, and Advil were not eaten but the bottles were punctured. Visitors forgot that they left food in the backpack.",18,10
1659,2010-05-01,,Housekeeping Camp,Housekeeping Camp site D100. Bear Box 111,Yosemite Valley,Improper food storage,"The food was left out until 1:30 am. The visitor was warned by resources. The bear returned at 1:30 am and opened the locker. Food for twenty visitors was consumed. 2 lbs of bacon, watermelon, humus, bread, 2 lbs. of sausage, alcoholic beverages, and soda was taken. The bear returned to Housekeeping while the report was being taken. The bear bluff charged the reporting desk officer. The bear is the same as case numbers 10-0819 and 10-0820 taken on 4/30/10.",18,100
1660,2010-05-23,,Camp 4 Parking,,Yosemite Valley,Improper storage of a bear attractant,"""Bounce"" sheets were on the dash of the car. No food was known to be taken.",17,200
1661,2010-05-23,,Yosemite Lodge Parking,North Lot,Yosemite Valley,Improper food storage,The bear entered through the skylight. There was food still in the vehicle when reporting party arrived on the scene.,17,500
1662,2010-05-24,,Lower Pines Campground,Directly outside of the campgrounds,Yosemite Valley,Unknown,"I found a small cooler in the woods between Lower Pines and Stoneman Meadow. Something had opened it and got a couple of candy bars, some M&Ms, eggs, coffee creamer, and string cheese.",18,30
1663,2010-05-24,0:26:00,Housekeeping Camp,Housekeeping #206,Yosemite Valley,Improper food storage,The bear obtained 2 tootsie pops. The visitor was asleep and heard a noise just outside the fence and saw and animal that left immediately. Wildlife staff located bear on telemetry and chased out of area.,18,5
1663,2010-05-24,0:26:00,Housekeeping Camp,Housekeeping #206,Yosemite Valley,Improper food storage,The bear obtained 2 tootsie pops. The visitor was asleep and heard a noise just outside the fence and saw and animal that left immediately. Wildlife staff located bear on telemetry and chased out of area.,19,5
1664,2010-05-24,,Housekeeping Camp,Housekeeping Camp #A235,Yosemite Valley,Unknown,"The visitors were asleep and heard a noise at the bear locker. They woke up and saw the bear. Resource 90 was just around the corner and saw the bear in the locker eating food. The bear pulled the cooler out and ate multiple items including bread, and 2 packages of deli meat, cheese and another package of buns. Visitors reported earnestly that they latched their locker, and demonstrated it.",18,20
