"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2011-12",,,"0.0",",7","0",",7","0",",7","0","3,7","0","3,7","0",",7","31",",7","0",",7","0",",7","0",",7","-6.1",",7,22,+","0","3,,7,31,+","0.0","3,,7,31,+","0.0",",,7,31,+","14.4",",7,29,",,,"478.8",",7","0.0",",,,7","0","3,,,7","2.9",",7","9.4",",,,7","-3.6",",,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2012-01","0.0","7","0.0","1,7","5","1,7","5","1,7",,,,,"0","1,7","26","1,7","0","1,7","0","1,7","0","1,7","-7.8","1,7,18,",,,,,"74.9","1,,7,21,","15.0","1,7,06,",,,"419.1","1,7","126.4","1,,,7",,,"4.4","1,7","10.8","1,,,7","-2.1","1,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2012-02","0.0","7","0.0","1,7","4","1,7","2","1,7","6","4,7","3","4,7","0","1,7","25","1,7","0","1,7","1","1,7","0","1,7","-3.3","1,7,05,+","152","4,,7,15,","152.0","4,,7,15,","10.2","1,,7,15,+","21.1","1,7,25,",,,"356.5","1,7","23.0","1,,,7","279","4,,,7","5.6","1,7","12.4","1,,,7","-1.2","1,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2012-03","0.0","7","0.0","2,7","12","2,7","10","2,7","7","4,7","4","3,7","0","2,7","17","2,7","0","2,7","3","2,7","0","2,7","-6.1","2,7,19,","330","4,,7,18,","330.0","3,,7,18,","59.9","2,,7,17,","21.7","2,7,31,",,,"345.9","2,7","146.0","2,,,7","622","3,,,7","6.4","2,7","12.5","2,,,7","0.3","2,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2012-04","4.0","7","4.0","2,7","7",",7","7",",7",,,,,"0","1,7","11","1,7","0","1,7","11","1,7","0","1,7","-2.2","1,7,06,+",,,,,"28.7",",,7,01,","28.9","1,7,23,",,,"219.8","1,7","113.1",",,,7",,,"10.7","2,7","17.6","1,,,7","3.8","1,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2012-05","13.3","7","9.3","3,7","2",",7","2",",7",,,,,"0","1,7","0","1,7","0","2,7","25","2,7","0","2,7","2.2","1,7,26,",,,,,"5.1",",,7,26,","29.4","2,7,21,",,,"68.9","2,7","8.4",",,,7",,,"16.1","3,7","24.1","2,,,7","8.1","1,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2012-06","70.1","7","56.8","2,7","2","2,7","1","2,7",,,,,"0","2,7","0","2,7","0","2,7","27","2,7","3","2,7","4.4","2,7,05,",,,,,"15.5","2,,7,05,","35.0","2,7,18,",,,"29.0","2,7","17.0","2,,,7",,,"19.3","2,7","27.9","2,,,7","10.8","2,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2012-07","209.8","7","139.7","1,7","1","1,7","0","1,7",,,,,"0","1,7","0","1,7","0","1,7","30","1,7","16","1,7","10.0","1,7,18,",,,,,"0.3","1,,7,20,","37.2","1,7,12,","0.5","7","0.5","1,7","0.3","1,,,7",,,"23.0","1,7","31.8","1,,,7","14.1","1,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2012-08","401.2","7","191.4","2,7","3","2,7","0","2,7",,,,,"0","2,7","0","2,7","0","2,7","29","2,7","23","2,7","8.9","2,7,27,",,,,,"0.8","2,,7,05,","37.8","2,7,12,","0.5","7","0.0","2,7","1.6","2,,,7",,,"24.9","2,7","34.0","2,,,7","15.9","2,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2012-09","510.2","7","109.0","1,7","0","1,7","0","1,7",,,,,"0","1,7","0","1,7","0","1,7","29","1,7","9","1,7","8.9","1,7,01,",,,,,"0.0","1,,7,30,+","33.3","1,7,10,+","0.5","7","0.0","1,7","0.0","1,,,7",,,"22.1","1,7","30.8","1,,,7","13.4","1,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2012-10","533.6","7","23.4","3,7","5","3,7","3","3,7",,,,,"0","3,7","0","3,7","0","3,7","19","3,7","3","3,7","1.7","3,7,26,",,,,,"14.5","3,,7,23,","33.3","3,7,02,","125.6","7","125.1","3,7","37.5","3,,,7",,,"14.7","3,7","22.2","3,,,7","7.2","3,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2012-11","533.6","7","0.0","2,7","10","2,7","7","2,7",,,,,"0","2,7","8","2,7","0","2,7","4","2,7","0","2,7","-5.0","2,7,11,",,,,,"40.1","2,,7,30,","24.4","2,7,07,","425.6","7","300.0","2,7","128.5","2,,,7",,,"7.6","2,7","13.4","2,,,7","1.9","2,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2012-12","533.6","7","0.0","3,7","15","3,7","12","3,7",,,,,"0","3,7","20","3,7","1","3,7","0","3,7","0","3,7","-6.1","3,7,28,+",,,,,"58.4","3,,7,24,","12.2","3,7,05,+","872.4","7","446.8","3,7","302.5","3,,,7",,,"2.4","3,7","5.9","3,,,7","-1.1","3,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2013-01","0.0","7","0.0","3,7","4","3,7","3","3,7","28","3,7","1","4,7","0","3,7","26","3,7","1","3,7","0","3,7","0","3,7","-11.7","3,7,16,+","279","3,,7,23,+","51.0","4,,7,10,","12.2","3,,7,24,","15.0","3,7,24,","1358.5","7","486.1","3,7","23.2","3,,,7","51","4,,,7","1.0","3,7","6.8","3,,,7","-4.9","3,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2013-03",,,"0.0","3,7","9","5,7","7","5,7","0","4,7",,,"0","3,7","7","3,7","0","3,7","2","3,7","0","3,7","-1.7","3,7,10,+","0","4,,7,31,+",,,"24.9","5,,7,31,","22.2","3,7,13,",,,"254.1","3,7","76.0","3,a,,7",,,"9.3","3,7","16.2","3,,,7","2.3","3,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2013-04",,,"0.9","1,7","5","1,7","5","1,7",,,,,"0","1,7","5","1,7","0","1,7","14","1,7","0","1,7","-0.6","1,7,18,+",,,,,"17.8","1,,7,08,","26.7","1,7,30,+",,,"170.1","1,7","41.6","1,,,7",,,"12.5","1,7","19.9","1,,,7","5.1","1,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2013-06",,,"91.8",",7","1",",7","1",",7",,,,,"0",",7","0",",7","0",",7","29",",7","10",",7","7.8",",7,19,",,,,,"4.1",",,7,25,","37.8",",7,09,",,,"9.7",",7","4.1",",,,7",,,"21.1",",7","29.3",",,,7","12.8",",,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2013-07",,,"184.1","5,7","1","5,7","0","5,7",,,,,"0","5,7","0","5,7","0","5,7","26","5,7","23","5,7","12.8","5,7,17,",,,,,"0.5","5,,7,28,","37.8","5,7,01,","0.0","7","0.0","5,7","0.5","5,,,7",,,"25.4","5,7","34.3","5,,,7","16.6","5,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2013-08",,,"117.7","3,7","0","3,7","0","3,7",,,,,"0","3,7","0","3,7","0","3,7","28","3,7","14","3,7","10.0","3,7,09,",,,,,"0.0","3,,7,31,+","36.1","3,7,20,","0.0","7","0.0","3,7","0.0","3,,,7",,,"22.5","3,7","31.8","3,,,7","13.3","3,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2013-09",,,"61.1","3,7","2","3,7","1","3,7",,,,,"0","3,7","0","3,7","0","3,7","23","3,7","3","3,7","3.9","3,7,26,",,,,,"22.9","3,,7,22,","32.8","3,7,08,","40.3","7","40.3","3,7","23.4","3,,,7",,,"19.1","3,7","27.8","3,,,7","10.4","3,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2013-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2014-01","0.0","7","0.0",",7","2",",7","2",",7","0",",7","0",",7","0",",7","25",",7","0",",7","0",",7","0",",7","-2.2",",7,13,+","0",",,7,31,+","0.0",",,7,31,+","19.6",",,7,30,","18.9",",7,15,",,,"357.8",",7","25.7",",,,7","0",",,,7","6.8",",7","14.0",",,,7","-0.4",",,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2014-02","0.0","7","0.0",",7","10",",7","8",",7","1",",7","1",",7","0",",7","11",",7","0",",7","0",",7","0",",7","-3.3",",7,03,","51",",,7,06,","51.0",",,7,06,","39.6",",,7,27,","20.0",",7,26,+",,,"315.4",",7","138.9",",,,7","51",",,,7","7.1",",7","12.6",",,,7","1.6",",,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2014-03","0.0","7","0.0","4,7","8","4,7","6","4,7",,,,,"0","4,7","3","4,7","0","4,7","3","4,7","0","4,7","0.0","4,7,31,+",,,,,"35.8","4,,7,01,","22.8","4,7,27,+",,,"225.4","4,7","98.8","4,,,7",,,"10.0","4,7","16.9","4,,,7","3.0","4,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2014-09",,,"84.2","4,7","3","4,7","2","4,7",,,,,"0","4,7","0","4,7","0","4,7","23","4,7","13","4,7","5.6","4,7,29,",,,,,"8.1","4,,7,28,","34.4","4,7,03,",,,"22.5","4,7","13.7","4,,,7",,,"20.7","4,7","29.5","4,,,7","11.9","4,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2014-10",,,"8.7","3,7","0","3,7","0","3,7",,,,,"0","3,7","15","3,7","0","3,7","22","3,7","0","3,7","-5.6","3,7,24,",,,,,"0.0","3,T,7,01,","31.1","3,7,07,",,,"141.2","3,7","0.0","3,T,,7",,,"13.6","3,7","24.9","3,,,7","2.3","3,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2014-11",,,"0.0",",7","8",",7","4",",7","0","3,7","0","2,7","0",",7","10",",7","0",",7","6",",7","0",",7","-6.1",",7,03,","0","3,,7,30,+","0.0","2,,7,30,+","28.4",",,7,01,","23.9",",7,10,+",,,"310.0",",7","75.8",",,,7","0","2,,,7","8.0",",7","15.1",",,,7","0.9",",,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2014-12",,,"0.0","3,7","12","3,7","10","3,7",,,,,"0","3,7","16","3,7","0","3,7","0","3,7","0","3,7","-6.1","3,7,31,+",,,,,"33.0","3,,7,12,","16.1","3,7,11,",,,"376.2","3,7","119.7","3,,,7",,,"4.9","3,7","9.4","3,,,7","0.4","3,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2015-01","0.0","7","0.0","3,7","1","3,7","1","3,7","0","4,7","0","4,7","0","3,7","19","3,7","0","3,7","0","3,7","0","3,7","-6.7","3,7,02,","0","4,,7,31,+","0.0","4,,7,31,+","2.5","3,,7,27,","20.0","3,7,27,+",,,"331.8","3,7","2.5","3,,,7","0","4,,,7","6.5","3,7","13.9","3,,,7","-0.9","3,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2015-02",,,,,"4","5,7","3","5,7","0","5,7","0","5,7","0","5,7","3","5,7",,,,,,,"-2.8","5,7,26,+","0","5,,7,28,+","0.0","5,,7,28,+","30.5","5,,7,07,",,,,,,,"41.4","5,,,7","0","5,,,7",,,,,"2.2","5,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2015-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2015-04",,,"0.0","4,7","7","4,7","6","4,7",,,,,"0","4,7","3","4,7","0","4,7","8","4,7","0","4,7","0.0","4,7,26,+",,,,,"31.2","4,,7,25,","26.7","4,7,30,",,,"187.0","4,7","80.1","4,,,7",,,"11.1","4,7","19.1","4,,,7","3.2","4,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2015-05",,,"2.6","5,7",,,,,,,,,"0","5,7","0","5,7","0","5,7","14","5,7","0","5,7","1.7","5,7,08,",,,,,,,"31.1","5,7,31,",,,"127.0","5,7","50.2","3,a,,7",,,"13.6","5,7","20.4","5,,,7","6.6","5,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2015-06",,,"132.7",",7","7",",7","3",",7",,,,,"0",",7","0",",7","0",",7","29",",7","18",",7","8.9",",7,06,",,,,,"10.2",",,7,07,","37.2",",7,28,+",,,"6.0",",7","20.1",",,,7",,,"22.6",",7","31.1",",,,7","14.0",",,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2015-07",,,"156.2",",7","10",",7","5",",7",,,,,"0",",7","0",",7","0",",7","30",",7","12",",7","8.9",",7,10,",,,,,"19.1",",,7,03,","37.8",",7,01,","6.7","7","6.7",",7","65.6",",,,7",,,"23.2",",7","30.9",",,,7","15.4",",,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2015-08",,,"172.9",",7","1",",7","0",",7",,,,,"0",",7","0",",7","0",",7","31",",7","23",",7","10.0",",7,24,",,,,,"1.0",",,7,01,","37.2",",7,18,+","6.7","7","0.0",",7","1.0",",,,7",,,"23.9",",7","33.0",",,,7","14.8",",,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2015-09",,,"97.5","1,7","2",",7","0",",7",,,,,"0","1,7","0","1,7","0",",7","29",",7","9",",7","7.8","1,7,18,+",,,,,"2.3",",,7,16,","35.6",",7,12,+","16.9","7","10.2",",7","3.8",",,,7",,,"21.4","1,7","29.5",",,,7","13.3","1,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2015-10",,,"18.9","2,7","9",",7","6",",7",,,,,"0","2,7","0","2,7","0",",7","22",",7","0",",7","0.6","2,7,31,+",,,,,"43.2",",,7,18,","31.7",",7,10,","117.4","7","100.5",",7","85.6",",,,7",,,"15.4","2,7","22.9",",,,7","7.9","2,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2015-11",,,,,"7","2,7","5","2,7",,,,,,,,,,,,,,,,,,,,,"37.6","2,,7,03,",,,,,,,"95.0","2,,,7",,,,,,,,
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2015-12",,,"0.0",",7","11",",7","8",",7","20",",7","4",",7","0",",7","28",",7","3",",7","0",",7","0",",7","-11.7",",7,26,","305",",,7,25,","279.0",",,7,25,","23.9",",,7,14,","15.0",",7,09,+",,,"533.3",",7","131.7",",,,7","468",",,,7","1.1",",7","6.4",",,,7","-4.1",",,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2016-01","0.0","7","0.0","5,7",,,,,"26","5,7","4","5,7","0","5,7","25","5,7","0","5,7","0","5,7","0","5,7","-9.4","5,7,02,+","305","5,,7,08,+","163.0","5,,7,07,",,,"13.3","5,7,29,",,,"424.7","5,7","199.3","4,a,,7","367","5,,,7","2.0","5,7","6.4","5,,,7","-2.4","5,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2016-02","0.0","7","0.0","1,7","3","1,7","2","1,7","11","1,7","2","1,7","0","1,7","14","1,7","0","1,7","0","1,7","0","1,7","-6.1","1,7,01,","203","1,,7,01,","76.0","1,,7,01,","39.1","1,,7,18,","20.0","1,7,27,",,,"303.6","1,7","51.5","1,,,7","101","1,,,7","7.5","1,7","14.5","1,,,7","0.5","1,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2016-03","0.0","7","0.0","3,7","11","1,7","8","1,7",,,,,"0","3,7","7","3,7","0","1,7","2","1,7","0","1,7","-1.7","3,7,30,+",,,,,"70.1","1,,7,06,","21.1","1,7,19,+",,,"275.8","1,7","189.2","1,,,7",,,"8.6","3,7","14.7","1,,,7","2.4","3,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2016-04","0.0","7","0.0","2,7","8","1,7","4","1,7",,,,,"0","2,7","2","2,7","0","1,7","10","1,7","0","1,7","-1.1","2,7,01,",,,,,"33.8","1,,7,23,","25.6","1,7,07,",,,"186.3","1,7","72.8","1,,,7",,,"11.6","2,7","18.7","1,,,7","4.5","2,,,7"
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","37.75027","-119.58972","1224.7","2016-05","0.0","7","0.0","5,7","12","2,7","5","2,7",,,,,"0","5,7","0","5,7","0","3,7","16","3,7","0","3,7","1.7","5,7,22,",,,,,"6.9","2,,7,06,+","27.8","3,7,31,",,,"114.2","3,7","33.7","2,,,7",,,"14.1","5,7","21.2","3,,,7","7.1","5,,,7"
